Crop,Rank,Band,Date,Channel,SIglobal
Corn,1,B5,06/15,B5_20250615,0.62441
Corn,2,B8A,04/16,B8A_20250416,0.605698
Corn,3,B11,06/30,B11_20250630,0.60558
Corn,4,B8,04/16,B8_20250416,0.589645
Corn,5,B5,06/30,B5_20250630,0.581
Corn,6,B7,04/16,B7_20250416,0.570905
Corn,7,B11,06/15,B11_20250615,0.560335
Corn,8,B11,07/15,B11_20250715,0.55595
Corn,9,B6,04/16,B6_20250416,0.532415
Corn,10,B12,07/15,B12_20250715,0.526186
Corn,11,B12,06/30,B12_20250630,0.52566
Corn,12,B3,06/30,B3_20250630,0.515707
Corn,13,B5,07/15,B5_20250715,0.509629
Corn,14,B5,05/31,B5_20250531,0.508101
Corn,15,B3,06/15,B3_20250615,0.503819
Corn,16,B8A,05/01,B8A_20250501,0.479576
Corn,17,B4,06/15,B4_20250615,0.472395
Corn,18,B11,05/31,B11_20250531,0.468962
Corn,19,B2,06/30,B2_20250630,0.466018
Corn,20,B8A,04/01,B8A_20250401,0.465909
Corn,21,B4,06/30,B4_20250630,0.46588
Corn,22,B3,07/15,B3_20250715,0.465422
Corn,23,B8,04/01,B8_20250401,0.462153
Corn,24,B8,05/01,B8_20250501,0.456719
Corn,25,B7,04/01,B7_20250401,0.456095
Corn,26,B11,07/30,B11_20250730,0.4521
Corn,27,B2,07/15,B2_20250715,0.448229
Corn,28,B2,06/15,B2_20250615,0.447839
Corn,29,B6,05/01,B6_20250501,0.442009
Corn,30,B12,06/15,B12_20250615,0.441603
Corn,31,B12,07/30,B12_20250730,0.440728
Corn,32,B7,05/01,B7_20250501,0.4293
Corn,33,B4,07/15,B4_20250715,0.426979
Corn,34,B6,04/01,B6_20250401,0.421285
Corn,35,B12,04/16,B12_20250416,0.399499
Corn,36,B2,07/30,B2_20250730,0.397303
Corn,37,B4,05/31,B4_20250531,0.390357
Corn,38,B3,05/31,B3_20250531,0.384015
Corn,39,B3,07/30,B3_20250730,0.382285
Corn,40,B5,05/16,B5_20250516,0.371256
Corn,41,B4,04/01,B4_20250401,0.356833
Corn,42,B5,07/30,B5_20250730,0.355382
Corn,43,B4,03/17,B4_20250317,0.35333
Corn,44,B4,10/28,B4_20251028,0.345009
Corn,45,B4,07/30,B4_20250730,0.338737
Corn,46,B2,05/31,B2_20250531,0.337892
Corn,47,B4,02/15,B4_20250215,0.337309
Corn,48,B12,05/31,B12_20250531,0.335538
Corn,49,B4,04/16,B4_20250416,0.333371
Rice,1,B8A,05/16,B8A_20250516,1.150257
Rice,2,B8,05/16,B8_20250516,1.101693
Rice,3,B6,05/16,B6_20250516,1.089015
