Crop,Rank,Band,Date,Channel,RF_Importance
Corn,1,B11,05/16,B11_20250516,0.04803
Corn,2,B8,05/16,B8_20250516,0.042174
Corn,3,B8A,05/16,B8A_20250516,0.033714
Corn,4,B7,05/16,B7_20250516,0.029723
Corn,5,B11,05/31,B11_20250531,0.029461
Corn,6,B11,07/30,B11_20250730,0.025231
Corn,7,B11,07/15,B11_20250715,0.024381
Rice,1,B11,05/16,B11_20250516,0.052752
Rice,2,B8,05/16,B8_20250516,0.049155
Rice,3,B8A,05/16,B8A_20250516,0.041252
Rice,4,B11,05/31,B11_20250531,0.038263
Rice,5,B7,05/16,B7_20250516,0.035484
Rice,6,B11,07/30,B11_20250730,0.02965
Rice,7,B6,05/16,B6_20250516,0.029354
Rice,8,B12,05/16,B12_20250516,0.029133
Rice,9,B11,07/15,B11_20250715,0.026686
Rice,10,B12,07/30,B12_20250730,0.026516
Winter Wheat,1,B11,05/16,B11_20250516,0.039916
Winter Wheat,2,B8A,05/16,B8A_20250516,0.025834
Winter Wheat,3,B12,05/16,B12_20250516,0.024969
Winter Wheat,4,B11,05/31,B11_20250531,0.023749
Winter Wheat,5,B5,05/31,B5_20250531,0.020654
Winter Wheat,6,B4,06/15,B4_20250615,0.020597
Alfalfa,1,B11,05/16,B11_20250516,0.025912
Alfalfa,2,B8A,05/16,B8A_20250516,0.022683
Alfalfa,3,B11,05/31,B11_20250531,0.018551
Alfalfa,4,B7,05/16,B7_20250516,0.017504
Alfalfa,5,B8,04/16,B8_20250416,0.017331
Alfalfa,6,B5,06/15,B5_20250615,0.016929
Alfalfa,7,B11,07/30,B11_20250730,0.01669
Alfalfa,8,B5,05/31,B5_20250531,0.016615
Alfalfa,9,B8,05/16,B8_20250516,0.016603
Alfalfa,10,B11,07/15,B11_20250715,0.01658
Alfalfa,11,B12,07/30,B12_20250730,0.016282
Alfalfa,12,B8A,04/16,B8A_20250416,0.015427
Alfalfa,13,B2,04/01,B2_20250401,0.015324
Alfalfa,14,B4,06/15,B4_20250615,0.015206
Alfalfa,15,B4,04/01,B4_20250401,0.014306
Alfalfa,16,B4,05/31,B4_20250531,0.013776
Alfalfa,17,B5,06/30,B5_20250630,0.013393
Tomatoes,1,B11,05/16,B11_20250516,0.032119
Tomatoes,2,B6,06/30,B6_20250630,0.026157
Tomatoes,3,B8A,05/16,B8A_20250516,0.025169
Tomatoes,4,B11,05/31,B11_20250531,0.025
Tomatoes,5,B8,05/16,B8_20250516,0.022351
Tomatoes,6,B5,06/15,B5_20250615,0.02213
Tomatoes,7,B5,06/30,B5_20250630,0.021861
Tomatoes,8,B11,07/15,B11_20250715,0.020253
Tomatoes,9,B6,07/15,B6_20250715,0.020083
Tomatoes,10,B8,04/16,B8_20250416,0.019294
